./Z1.out /home/kuba/Projects/Sem-5/Algorytmy Dyskretne/listy/aod_testy1/1/a.txt t
Node: 1 order: 1
Node: 2 order: 2
Node: 3 order: 3
Node: 4 order: 4
Node: 5 order: 5
Node: 6 order: 6

Node: 1 order: 1
Node: 2 order: 2
Node: 3 order: 3
Node: 6 order: 4
Node: 5 order: 5
Node: 4 order: 6
./Z1.out /home/kuba/Projects/Sem-5/Algorytmy Dyskretne/listy/aod_testy1/1/b.txt t
Node: 1 order: 1
Node: 2 order: 2
Node: 4 order: 3
Node: 3 order: 4
Node: 6 order: 5
Node: 8 order: 6
Node: 7 order: 7
Node: 5 order: 8

Node: 1 order: 1
Node: 2 order: 2
Node: 3 order: 3
Node: 4 order: 4
Node: 8 order: 5
Node: 7 order: 6
Node: 6 order: 7
Node: 5 order: 8
./Z1.out /home/kuba/Projects/Sem-5/Algorytmy Dyskretne/listy/aod_testy1/1/c.txt t
Node: 1 order: 1
Node: 2 order: 2
Node: 5 order: 3
Node: 3 order: 4
Node: 4 order: 5
Node: 6 order: 6
Node: 8 order: 7
Node: 7 order: 8
Node: 9 order: 9

Node: 1 order: 1
Node: 2 order: 2
Node: 4 order: 3
Node: 8 order: 4
Node: 5 order: 5
Node: 6 order: 6
Node: 7 order: 7
Node: 9 order: 8
Node: 3 order: 9
./Z1.out /home/kuba/Projects/Sem-5/Algorytmy Dyskretne/listy/aod_testy1/1/myd.txt t
Node: 1 order: 1
Node: 2 order: 2
Node: 3 order: 3
Node: 6 order: 4
Node: 4 order: 5
Node: 5 order: 6

Node: 1 order: 1
Node: 2 order: 2
Node: 3 order: 3
Node: 6 order: 4
Node: 4 order: 5
Node: 5 order: 6
./Z1.out /home/kuba/Projects/Sem-5/Algorytmy Dyskretne/listy/aod_testy1/1/myu.txt t
Node: 1 order: 1
Node: 2 order: 2
Node: 6 order: 3
Node: 3 order: 4
Node: 4 order: 5
Node: 5 order: 6

Node: 1 order: 1
Node: 2 order: 2
Node: 3 order: 3
Node: 6 order: 4
Node: 4 order: 5
Node: 5 order: 6
